Title: EXT_SOURCE_3                   Correlation: -0.178919	Status: very weak                                         
Title: EXT_SOURCE_2                   Correlation: -0.160472	Status: very weak                                         
Title: EXT_SOURCE_1                   Correlation: -0.155317	Status: very weak                                         
Title: NAME_EDUCATION_TYPE_Higher_education Correlation: -0.056593	Status: very weak                                         
Title: CODE_GENDER_F                  Correlation: -0.054704	Status: very weak                                         
Title: NAME_INCOME_TYPE_Pensioner     Correlation: -0.046209	Status: very weak                                         
Title: ORGANIZATION_TYPE_XNA          Correlation: -0.045987	Status: very weak                                         
Title: DAYS_EMPLOYED                  Correlation: -0.044932	Status: very weak                                         
Title: FLOORSMAX_AVG                  Correlation: -0.044003	Status: very weak                                         
Title: FLOORSMAX_MEDI                 Correlation: -0.043768	Status: very weak                                         
Title: FLOORSMAX_MODE                 Correlation: -0.043226	Status: very weak                                         
Title: EMERGENCYSTATE_MODE_No         Correlation: -0.042201	Status: very weak                                         
Title: HOUSETYPE_MODE_block_of_flats  Correlation: -0.040594	Status: very weak                                         
Title: AMT_GOODS_PRICE                Correlation: -0.039645	Status: very weak                                         
Title: REGION_POPULATION_RELATIVE     Correlation: -0.037227	Status: very weak                                         
Title: ELEVATORS_AVG                  Correlation: -0.034199	Status: very weak                                         
Title: ELEVATORS_MEDI                 Correlation: -0.033863	Status: very weak                                         
Title: FLOORSMIN_AVG                  Correlation: -0.033614	Status: very weak                                         
Title: FLOORSMIN_MEDI                 Correlation: -0.033394	Status: very weak                                         
Title: WALLSMATERIAL_MODE_Panel       Correlation: -0.033119	Status: very weak                                         
Title: LIVINGAREA_AVG                 Correlation: -0.032997	Status: very weak                                         
Title: LIVINGAREA_MEDI                Correlation: -0.032739	Status: very weak                                         
Title: FLOORSMIN_MODE                 Correlation: -0.032698	Status: very weak                                         
Title: TOTALAREA_MODE                 Correlation: -0.032596	Status: very weak                                         
Title: ELEVATORS_MODE                 Correlation: -0.032131	Status: very weak                                         
Title: NAME_CONTRACT_TYPE             Correlation: -0.030896	Status: very weak                                         
Title: LIVINGAREA_MODE                Correlation: -0.030685	Status: very weak                                         
Title: AMT_CREDIT                     Correlation: -0.030369	Status: very weak                                         
Title: APARTMENTS_AVG                 Correlation: -0.029498	Status: very weak                                         
Title: APARTMENTS_MEDI                Correlation: -0.029184	Status: very weak                                         
Title: FLAG_DOCUMENT_6                Correlation: -0.028602	Status: very weak                                         
Title: NAME_HOUSING_TYPE_House_/_apartment Correlation: -0.028555	Status: very weak                                         
Title: APARTMENTS_MODE                Correlation: -0.027284	Status: very weak                                         
Title: NAME_FAMILY_STATUS_Married     Correlation: -0.025043	Status: very weak                                         
Title: LIVINGAPARTMENTS_AVG           Correlation: -0.025031	Status: very weak                                         
Title: LIVINGAPARTMENTS_MEDI          Correlation: -0.024621	Status: very weak                                         
Title: HOUR_APPR_PROCESS_START        Correlation: -0.024166	Status: very weak                                         
Title: FLAG_PHONE                     Correlation: -0.023806	Status: very weak                                         
Title: NAME_INCOME_TYPE_State_servant Correlation: -0.023447	Status: very weak                                         
Title: LIVINGAPARTMENTS_MODE          Correlation: -0.023393	Status: very weak                                         
Title: BASEMENTAREA_AVG               Correlation: -0.022746	Status: very weak                                         
Title: FONDKAPREMONT_MODE_reg_oper_account Correlation: -0.022587	Status: very weak                                         
Title: YEARS_BUILD_MEDI               Correlation: -0.022326	Status: very weak                                         
Title: YEARS_BUILD_AVG                Correlation: -0.022149	Status: very weak                                         
Title: BASEMENTAREA_MEDI              Correlation: -0.022081	Status: very weak                                         
Title: YEARS_BUILD_MODE               Correlation: -0.022068	Status: very weak                                         
Title: FLAG_OWN_CAR                   Correlation: -0.021851	Status: very weak                                         
Title: OCCUPATION_TYPE_Accountants    Correlation: -0.02161	Status: very weak                                         
Title: OCCUPATION_TYPE_Core_staff     Correlation: -0.020378	Status: very weak                                         
Title: BASEMENTAREA_MODE              Correlation: -0.019952	Status: very weak                                         
Title: NAME_FAMILY_STATUS_Widow       Correlation: -0.019394	Status: very weak                                         
Title: ENTRANCES_AVG                  Correlation: -0.019172	Status: very weak                                         
Title: ENTRANCES_MEDI                 Correlation: -0.019025	Status: very weak                                         
Title: OCCUPATION_TYPE_Managers       Correlation: -0.018648	Status: very weak                                         
Title: COMMONAREA_MEDI                Correlation: -0.018573	Status: very weak                                         
Title: COMMONAREA_AVG                 Correlation: -0.01855	Status: very weak                                         
Title: ENTRANCES_MODE                 Correlation: -0.017387	Status: very weak                                         
Title: COMMONAREA_MODE                Correlation: -0.01634	Status: very weak                                         
Title: OCCUPATION_TYPE_High_skill_tech_staff Correlation: -0.013766	Status: very weak                                         
Title: ORGANIZATION_TYPE_School       Correlation: -0.013671	Status: very weak                                         
Title: NONLIVINGAREA_AVG              Correlation: -0.013578	Status: very weak                                         
Title: NONLIVINGAREA_MEDI             Correlation: -0.013337	Status: very weak                                         
Title: AMT_ANNUITY                    Correlation: -0.012817	Status: very weak                                         
Title: NONLIVINGAREA_MODE             Correlation: -0.012711	Status: very weak                                         
Title: WALLSMATERIAL_MODE_Stone,_brick Correlation: -0.012657	Status: very weak                                         
Title: AMT_REQ_CREDIT_BUREAU_MON      Correlation: -0.012462	Status: very weak                                         
Title: NAME_INCOME_TYPE_Commercial_associate Correlation: -0.011906	Status: very weak                                         
Title: FLAG_DOCUMENT_16               Correlation: -0.011615	Status: very weak                                         
Title: FLAG_DOCUMENT_13               Correlation: -0.011583	Status: very weak                                         
Title: FONDKAPREMONT_MODE_org_spec_account Correlation: -0.011285	Status: very weak                                         
Title: FONDKAPREMONT_MODE_reg_oper_spec_account Correlation: -0.011257	Status: very weak                                         
Title: LANDAREA_MEDI                  Correlation: -0.011256	Status: very weak                                         
Title: LANDAREA_AVG                   Correlation: -0.010885	Status: very weak                                         
Title: ORGANIZATION_TYPE_Medicine     Correlation: -0.010619	Status: very weak                                         
Title: LANDAREA_MODE                  Correlation: -0.010174	Status: very weak                                         
Title: ORGANIZATION_TYPE_Military     Correlation: -0.010057	Status: very weak                                         
Title: YEARS_BEGINEXPLUATATION_MEDI   Correlation: -0.009993	Status: very weak                                         
Title: ORGANIZATION_TYPE_Police       Correlation: -0.009886	Status: very weak                                         
Title: YEARS_BEGINEXPLUATATION_AVG    Correlation: -0.009728	Status: very weak                                         
Title: ORGANIZATION_TYPE_Bank         Correlation: -0.009609	Status: very weak                                         
Title: ORGANIZATION_TYPE_Security_Ministries Correlation: -0.00947	Status: very weak                                         
Title: FLAG_DOCUMENT_14               Correlation: -0.009464	Status: very weak                                         
Title: WALLSMATERIAL_MODE_Monolithic  Correlation: -0.009384	Status: very weak                                         
Title: YEARS_BEGINEXPLUATATION_MODE   Correlation: -0.009036	Status: very weak                                         
Title: OCCUPATION_TYPE_Medicine_staff Correlation: -0.008514	Status: very weak                                         
Title: NAME_TYPE_SUITE_Family         Correlation: -0.008226	Status: very weak                                         
Title: FLAG_DOCUMENT_8                Correlation: -0.00804	Status: very weak                                         
Title: FLAG_DOCUMENT_18               Correlation: -0.007952	Status: very weak                                         
Title: ORGANIZATION_TYPE_University   Correlation: -0.007672	Status: very weak                                         
Title: ORGANIZATION_TYPE_Government   Correlation: -0.00752	Status: very weak                                         
Title: WALLSMATERIAL_MODE_Block       Correlation: -0.006777	Status: very weak                                         
Title: FLAG_DOCUMENT_15               Correlation: -0.006536	Status: very weak                                         
Title: FLAG_OWN_REALTY                Correlation: -0.006148	Status: very weak                                         
Title: ORGANIZATION_TYPE_Trade:_type_6 Correlation: -0.005788	Status: very weak                                         
Title: ORGANIZATION_TYPE_Kindergarten Correlation: -0.005764	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_12 Correlation: -0.005444	Status: very weak                                         
Title: ORGANIZATION_TYPE_Industry:_type_9 Correlation: -0.005379	Status: very weak                                         
Title: NAME_EDUCATION_TYPE_Academic_degree Correlation: -0.005294	Status: very weak                                         
