Title: CREDIT_ACTIVE_Closed           Correlation: -0.042647	Status: very weak                                         
Title: CREDIT_TYPE_Consumer_credit    Correlation: -0.020315	Status: very weak                                         
Title: CREDIT_TYPE_Mortgage           Correlation: -0.010892	Status: very weak                                         
Title: CREDIT_TYPE_Car_loan           Correlation: -0.010724	Status: very weak                                         
Title: AMT_CREDIT_SUM                 Correlation: -0.010606	Status: very weak                                         
Title: SK_ID_BUREAU                   Correlation: -0.009018	Status: very weak                                         
Title: AMT_CREDIT_SUM_LIMIT           Correlation: -0.00599	Status: very weak                                         
Title: CREDIT_CURRENCY_currency_2     Correlation: -0.003271	Status: very weak                                         
Title: SK_ID_CURR                     Correlation: -0.003024	Status: very weak                                         
Title: CREDIT_TYPE_Loan_for_business_development Correlation: -0.002116	Status: very weak                                         
Title: CREDIT_TYPE_Real_estate_loan   Correlation: -0.001154	Status: very weak                                         
Title: CREDIT_TYPE_Unknown_type_of_loan Correlation: -0.001118	Status: very weak                                         
Title: CREDIT_CURRENCY_currency_4     Correlation: -0.000722	Status: very weak                                         
Title: CREDIT_TYPE_Another_type_of_loan Correlation: -0.000605	Status: very weak                                         
Title: CREDIT_TYPE_Cash_loan_(non-earmarked) Correlation: -0.000512	Status: very weak                                         
Title: CREDIT_TYPE_Loan_for_purchase_of_shares_(margin_lending) Correlation: -0.000481	Status: very weak                                         
Title: CREDIT_TYPE_Mobile_operator_loan Correlation: -0.000241	Status: very weak                                         
Title: CREDIT_TYPE_Interbank_credit   Correlation: -0.000241	Status: very weak                                         
Title: AMT_ANNUITY                    Correlation: 0.000117	Status: very weak                                         
Title: CREDIT_CURRENCY_currency_3     Correlation: 0.001326	Status: very weak                                         
Title: CNT_CREDIT_PROLONG             Correlation: 0.001523	Status: very weak                                         
Title: AMT_CREDIT_MAX_OVERDUE         Correlation: 0.001587	Status: very weak                                         
Title: CREDIT_ACTIVE_Bad_debt         Correlation: 0.001677	Status: very weak                                         
Title: CREDIT_TYPE_Loan_for_the_purchase_of_equipment Correlation: 0.001994	Status: very weak                                         
Title: AMT_CREDIT_SUM_DEBT            Correlation: 0.002539	Status: very weak                                         
Title: CREDIT_CURRENCY_currency_1     Correlation: 0.002651	Status: very weak                                         
Title: CREDIT_DAY_OVERDUE             Correlation: 0.002652	Status: very weak                                         
Title: CREDIT_TYPE_Loan_for_working_capital_replenishment Correlation: 0.002939	Status: very weak                                         
Title: CREDIT_ACTIVE_Sold             Correlation: 0.005299	Status: very weak                                         
Title: AMT_CREDIT_SUM_OVERDUE         Correlation: 0.006253	Status: very weak                                         
Title: CREDIT_TYPE_Credit_card        Correlation: 0.020331	Status: very weak                                         
Title: DAYS_CREDIT_ENDDATE            Correlation: 0.026497	Status: very weak                                         
Title: CREDIT_TYPE_Microloan          Correlation: 0.037583	Status: very weak                                         
Title: DAYS_ENDDATE_FACT              Correlation: 0.039057	Status: very weak                                         
Title: DAYS_CREDIT_UPDATE             Correlation: 0.041076	Status: very weak                                         
Title: CREDIT_ACTIVE_Active           Correlation: 0.042045	Status: very weak                                         
Title: DAYS_CREDIT                    Correlation: 0.061556	Status: very weak                                         
Title: TARGET                         Correlation:   1.0	Status: very strong                                       
