Title: CNT_INSTALMENT_MATURE_CUM      Correlation: -0.023684	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Completed Correlation: -0.004917	Status: very weak                                         
Title: SK_ID_CURR                     Correlation: -0.004617	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Sent_proposal Correlation: -0.001491	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Signed    Correlation: -0.001026	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Approved  Correlation: -0.000345	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Refused   Correlation: 0.00058	Status: very weak                                         
Title: SK_DPD                         Correlation: 0.001684	Status: very weak                                         
Title: SK_ID_PREV                     Correlation: 0.002571	Status: very weak                                         
Title: CNT_DRAWINGS_OTHER_CURRENT     Correlation: 0.003044	Status: very weak                                         
Title: AMT_DRAWINGS_OTHER_CURRENT     Correlation: 0.003843	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Active    Correlation: 0.004362	Status: very weak                                         
Title: AMT_DRAWINGS_POS_CURRENT       Correlation: 0.005084	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Demand    Correlation: 0.008044	Status: very weak                                         
Title: SK_DPD_DEF                     Correlation: 0.010538	Status: very weak                                         
Title: AMT_PAYMENT_TOTAL_CURRENT      Correlation: 0.012302	Status: very weak                                         
Title: AMT_PAYMENT_CURRENT            Correlation: 0.012929	Status: very weak                                         
Title: AMT_CREDIT_LIMIT_ACTUAL        Correlation: 0.013823	Status: very weak                                         
Title: AMT_DRAWINGS_CURRENT           Correlation: 0.022378	Status: very weak                                         
Title: AMT_DRAWINGS_ATM_CURRENT       Correlation: 0.0247	Status: very weak                                         
Title: CNT_DRAWINGS_POS_CURRENT       Correlation: 0.029536	Status: very weak                                         
Title: MONTHS_BALANCE                 Correlation: 0.035695	Status: very weak                                         
Title: CNT_DRAWINGS_CURRENT           Correlation: 0.037793	Status: very weak                                         
Title: CNT_DRAWINGS_ATM_CURRENT       Correlation: 0.038437	Status: very weak                                         
Title: AMT_INST_MIN_REGULARITY        Correlation: 0.039798	Status: very weak                                         
Title: AMT_RECEIVABLE_PRINCIPAL       Correlation: 0.049692	Status: very weak                                         
Title: AMT_RECIVABLE                  Correlation: 0.049803	Status: very weak                                         
Title: AMT_TOTAL_RECEIVABLE           Correlation: 0.049839	Status: very weak                                         
Title: AMT_BALANCE                    Correlation: 0.050098	Status: very weak                                         
Title: TARGET                         Correlation:   1.0	Status: very strong                                       
