Title: CODE_REJECT_REASON_XAP         Correlation: -0.052015	Status: very weak                                         
Title: NAME_CONTRACT_STATUS_Approved  Correlation: -0.049161	Status: very weak                                         
Title: DAYS_FIRST_DRAWING             Correlation: -0.031154	Status: very weak                                         
Title: NAME_PORTFOLIO_POS             Correlation: -0.030791	Status: very weak                                         
Title: NAME_CONTRACT_TYPE_Consumer_loans Correlation: -0.02994	Status: very weak                                         
Title: HOUR_APPR_PROCESS_START        Correlation: -0.027809	Status: very weak                                         
Title: NAME_YIELD_GROUP_low_normal    Correlation: -0.026615	Status: very weak                                         
Title: RATE_DOWN_PAYMENT              Correlation: -0.026111	Status: very weak                                         
Title: NAME_PAYMENT_TYPE_Cash_through_the_bank Correlation: -0.026079	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_Consumer_electronics Correlation: -0.022125	Status: very weak                                         
Title: PRODUCT_COMBINATION_Cash_X-Sell:_low Correlation: -0.021469	Status: very weak                                         
Title: PRODUCT_COMBINATION_POS_industry_with_interest Correlation: -0.020967	Status: very weak                                         
Title: NAME_YIELD_GROUP_low_action    Correlation: -0.019016	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Furniture  Correlation: -0.018184	Status: very weak                                         
Title: CHANNEL_TYPE_Stone             Correlation: -0.017659	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_Furniture Correlation: -0.017103	Status: very weak                                         
Title: AMT_DOWN_PAYMENT               Correlation: -0.016918	Status: very weak                                         
Title: PRODUCT_COMBINATION_POS_household_without_interest Correlation: -0.016543	Status: very weak                                         
Title: NAME_TYPE_SUITE_Family         Correlation: -0.016141	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Consumer_Electronics Correlation: -0.015984	Status: very weak                                         
Title: NAME_CASH_LOAN_PURPOSE_XAP     Correlation: -0.014932	Status: very weak                                         
Title: AMT_ANNUITY                    Correlation: -0.014922	Status: very weak                                         
Title: PRODUCT_COMBINATION_POS_household_with_interest Correlation: -0.014302	Status: very weak                                         
Title: NAME_PRODUCT_TYPE_XNA          Correlation: -0.014145	Status: very weak                                         
Title: NAME_CLIENT_TYPE_Refreshed     Correlation: -0.013955	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_Clothing  Correlation: -0.012452	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Clothing_and_Accessories Correlation: -0.012451	Status: very weak                                         
Title: PRODUCT_COMBINATION_POS_industry_without_interest Correlation: -0.012419	Status: very weak                                         
Title: NAME_PRODUCT_TYPE_x-sell       Correlation: -0.012355	Status: very weak                                         
Title: NAME_YIELD_GROUP_middle        Correlation: -0.011894	Status: very weak                                         
Title: NAME_TYPE_SUITE_Children       Correlation: -0.011431	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_Construction Correlation: -0.010014	Status: very weak                                         
Title: CHANNEL_TYPE_Regional_/_Local  Correlation: -0.009877	Status: very weak                                         
Title: CHANNEL_TYPE_Country-wide      Correlation: -0.00928	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Audio/Video Correlation: -0.008965	Status: very weak                                         
Title: PRODUCT_COMBINATION_Cash_X-Sell:_middle Correlation: -0.008876	Status: very weak                                         
Title: NAME_TYPE_SUITE_Unaccompanied  Correlation: -0.008687	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Construction_Materials Correlation: -0.007434	Status: very weak                                         
Title: WEEKDAY_APPR_PROCESS_START_SUNDAY Correlation: -0.007083	Status: very weak                                         
Title: DAYS_FIRST_DUE                 Correlation: -0.006651	Status: very weak                                         
Title: NAME_SELLER_INDUSTRY_Industry  Correlation: -0.005585	Status: very weak                                         
Title: AMT_APPLICATION                Correlation: -0.005583	Status: very weak                                         
Title: FLAG_LAST_APPL_PER_CONTRACT    Correlation: -0.005539	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Medical_Supplies Correlation: -0.005178	Status: very weak                                         
Title: NAME_GOODS_CATEGORY_Computers  Correlation: -0.005104	Status: very weak                                         
